number,name,earnings in USD,Number of major tournaments won,Number of second place placing,number of third place placings,number of regional tournaments won
1,Faker,"$1,427,854",17,8,3,16
2,Duke,"$1,202,577",10,2,5,8
3,Bang,"$1,059,518",9,5,2,9
4,Wolf,"$1,051,271",9,7,1,9
5,Bengi,"$926,920",9,1,3,8
6,JackeyLove,"$841,011",9,3,2,5
7,Blank,"$788,813",5,5,2,5
8,Rookie,"$735,323",7,5,6,4
9,Ning,"$696,766",5,3,4,3
9,Baolan,"$696,766",6,3,4,3
11,CoreJJ,"$693,970",8,6,2,3
12,TheShy,"$682,222",5,3,3,3
13,Ruler,"$617,778",6,6,2,1
14,Karsa,"$602,265",11,3,1,9
15,Ambition,"$596,773",8,6,2,2
16,CuVee,"$562,064",5,3,1,1
17,Xiaohu,"$561,445",11,3,0,8
18,Caps,"$558,116",11,3,4,9
19,Crown,"$552,863",5,3,2,1
20,Impact,"$541,275",10,5,3,8
21,Peanut,"$525,225",5,12,0,4
22,Uzi,"$495,672",7,5,0,4
23,Mata,"$489,788",9,5,5,7
24,Mlxg,"$482,744",8,2,0,6
25,Perkz,"$462,879",12,6,2,11
26,sOAZ,"$446,848",12,11,2,6
27,Rekkles,"$429,894",9,11,6,5
28,Letme,"$428,568",7,2,0,5
29,Ming,"$411,938",10,3,0,6
30,PawN,"$404,876",8,4,5,4
31,Haru,"$398,624",4,0,1,2
32,Wunder,"$396,995",10,3,1,7
33,PraY,"$392,085",5,8,1,4
34,Huni,"$379,348",5,4,5,4
35,Jankos,"$376,131",7,3,4,6
36,Hylissang,"$359,816",5,10,3,3
37,GorillA,"$354,840",4,10,1,3
38,Broxah,"$353,940",6,3,4,4
39,Doinb,"$348,801",3,7,6,3
40,Khan,"$343,057",7,6,1,6
41,Clearlove,"$342,805",7,3,2,5
42,Looper,"$333,323",3,1,2,2
43,Imp,"$329,670",4,4,5,3
44,Bwipo,"$329,179",5,4,1,4
45,Meiko,"$323,588",10,3,3,5
46,Deft,"$321,843",8,8,5,5
47,Jensen,"$319,198",7,6,1,3
48,Smeb,"$314,079",4,7,3,2
49,Tian,"$307,904",2,4,2,2
50,Doublelift,"$306,413",10,9,2,9
51,Crisp,"$305,774",2,3,2,2
51,Lwx,"$305,774",2,3,2,2
53,Kuro,"$292,392",2,6,3,1
54,Mikyx,"$290,751",7,2,1,6
55,Easyhoon,"$286,004",4,1,0,3
56,Svenskeren,"$284,614",5,6,2,4
57,SwordArT,"$277,215",7,2,6,5
58,GimGoon,"$276,048",2,1,3,2
59,Zven,"$272,868",8,10,1,5
60,Sneaky,"$266,973",8,7,0,3
61,DanDy,"$265,858",3,2,3,2
62,Piglet,"$265,128",4,0,4,3
63,MaRin,"$264,796",3,1,1,3
64,Xmithie,"$256,174",6,6,2,6
65,PoohManDu,"$252,967",4,0,2,3
66,Scout,"$251,032",6,2,3,4
67,Bjergsen,"$250,259",9,9,1,7
68,ShowMaker,"$246,344",7,1,1,4
69,mithy,"$243,179",8,11,1,4
70,Canyon,"$241,906",6,1,1,4
71,ping,"$239,841",0,1,0,0
72,BeryL,"$234,419",7,1,1,4
73,Bdd,"$226,805",3,6,1,2
74,Nuguri,"$221,360",5,1,1,3
75,knight,"$220,609",3,5,1,2
76,369,"$214,594",3,4,1,2
77,BeBe,"$211,514",1,0,3,1
78,LokeN,"$207,782",4,5,4,1
79,xiye,"$207,039",4,2,1,2
80,Clid,"$206,390",5,2,3,3
81,Ghost,"$205,760",4,1,1,3
82,Toyz,"$202,560",1,1,1,1
83,Lilballz,"$202,160",1,1,1,1
83,Stanley,"$202,160",1,1,1,1
83,MiSTakE,"$202,160",1,1,1,1
86,Mystic,"$201,410",4,1,2,2
87,Zero,"$198,835",2,1,0,2
88,Mouse,"$195,910",4,2,2,4
89,QiuQiu,"$194,285",1,2,1,1
90,Ben,"$193,705",3,2,2,1
91,Cuzz,"$193,048",4,4,1,4
92,Maple,"$189,827",7,2,4,5
93,LvMao,"$188,058",2,3,4,1
93,Yagao,"$188,058",2,3,4,1
93,Zoom,"$188,058",2,3,4,1
96,Ryu,"$187,402",2,3,6,2
97,Expect,"$184,903",5,3,0,3
98,yuyanjia,"$183,623",3,1,1,2
99,Trick,"$182,178",4,3,2,4
100,Nuclear,"$181,667",3,1,1,1
101,promisq,"$181,609",3,1,0,1
102,YellOwStaR,"$181,049",7,8,2,5
103,Blaber,"$181,013",5,3,0,2
104,Wraith,"$177,569",1,1,1,0
105,WildTurtle,"$176,308",5,6,3,4
106,Condi,"$175,023",3,0,1,2
107,Spirit,"$169,952",2,5,5,1
108,iBoy,"$163,854",5,1,1,2
109,Korol,"$162,225",2,2,3,2
110,Licorice,"$161,313",2,5,0,1
111,Zz1tai,"$161,109",5,3,2,3
112,Odoamne,"$154,209",6,2,7,1
113,Rascal,"$153,727",3,5,2,2
114,xPeke,"$153,709",10,7,1,4
115,Flame,"$150,598",3,4,1,3
116,Hoit,"$148,952",1,0,1,0
117,Betty,"$148,697",7,0,4,6
118,Diamondprox,"$144,376",9,5,1,1
119,Score,"$144,323",3,9,5,2
120,Kanavi,"$142,342",1,2,2,1
121,Hauntzer,"$139,500",4,2,1,4
122,inSec,"$139,324",3,2,1,2
123,Zeyzal,"$138,253",3,6,2,0
124,Meteos,"$135,660",4,4,1,2
125,Biofrost,"$134,990",5,0,2,5
126,Dyrus,"$134,031",6,9,0,3
127,Ssumday,"$132,446",2,5,1,1
128,Rey,"$129,485",3,2,1,1
129,Teddy,"$128,750",4,0,0,4
130,Santorin,"$128,057",6,4,0,1
131,MMD,"$126,793",5,1,1,5
132,Vander,"$125,977",1,2,4,0
133,ZionSpartan,"$124,265",2,7,2,2
134,Alphari,"$123,777",4,4,0,1
135,Chovy,"$123,414",3,4,3,1
136,Moyu,"$123,195",0,2,1,0
137,SofM,"$119,700",1,2,1,0
138,West,"$118,974",2,2,1,1
139,PowerOfEvil,"$117,830",1,7,5,0
140,huanfeng,"$114,336",2,1,1,0
