number,Team Name,Earnings in USD,Number of Major Tournaments Won,Number of Second Place Placings,Number of Bronze Place Placings,Number of Regional Tournaments Won
1,T1,"$5,917,795",14,6,1,13
2,Invictus Gaming,"$3,712,811",7,6,6,3
3,Royal Never Give Up,"$3,140,908",11,3,0,8
4,Fnatic,"$2,766,212",15,11,6,10
5,G2 Esports,"$2,716,452",14,5,6,11
6,Samsung Galaxy,"$2,650,967",4,2,1,1
7,EDward Gaming,"$1,807,070",9,4,4,5
8,Cloud9,"$1,744,227",8,8,0,5
9,TSM,"$1,563,988",12,11,4,8
10,FunPlus Phoenix,"$1,509,445",2,3,2,2
11,SK Telecom T1 K,"$1,268,401",4,0,2,3
12,DAMWON Gaming,"$1,216,075",7,1,1,4
13,Team Liquid,"$1,209,339",5,6,3,4
14,Flash Wolves,"$1,196,184",7,1,3,6
15,Top Esports,"$1,123,872",3,5,1,2
16,Team WE,"$1,099,677",7,2,1,3
17,Taipei Assassins,"$1,057,800",1,1,1,1
18,ROX Tigers,"$979,303",2,3,1,1
19,JD Gaming,"$962,946",2,4,4,1
20,KT Rolster,"$825,521",2,7,3,1
21,DRX,"$760,337",2,5,2,2
22,Counter Logic Gaming,"$609,975",5,7,6,2
23,H2K,"$584,267",3,1,3,0
24,Suning,"$498,383",1,1,2,0
25,Afreeca Freecs,"$494,236",1,2,4,0
26,Gen.G Esports,"$492,740",2,3,1,0
27,Gambit Esports,"$486,433",7,4,1,0
28,DetonatioN FocusMe,"$485,526",10,6,1,1
29,ahq e-Sports Club,"$484,629",0,3,3,0
30,Griffin,"$414,848",3,3,1,1
31,Origen,"$384,795",5,3,0,1
32,Unicorns Of Love,"$373,380",6,6,2,0
33,GAM Esports,"$359,801",6,4,1,0
34,Oh My God,"$352,775",1,1,1,1
35,LGD Gaming,"$348,274",1,2,1,1
36,Longzhu Gaming,"$336,055",1,1,0,1
37,Misfits Gaming,"$306,192",1,2,0,0
38,Splyce,"$305,162",2,2,2,1
39,MAD Lions,"$296,925",7,1,1,1
40,LDLC OL,"$296,575",14,7,3,0
41,Azubu Frost,"$293,102",0,2,0,0
42,mousesports,"$267,793",6,5,3,0
43,Moscow Five,"$265,000",2,1,0,1
44,SK Gaming,"$260,165",1,5,4,0
45,Saigon Buffalo,"$253,413",2,4,1,0
46,100 Thieves,"$240,125",0,2,0,0
47,Rare Atom,"$227,003",2,0,0,0
48,Team Vitality,"$226,786",0,0,1,0
49,Albus NoX Luna,"$226,138",1,0,0,0
50,eSuba,"$213,108",9,1,0,0
51,Counter Logic Gaming Europe,"$212,224",1,1,1,0
52,Illuminar Gaming,"$209,581",6,4,3,0
53,GamersOrigin,"$209,008",11,7,7,0
54,FlyQuest,"$200,625",0,2,1,0
55,Misfits Premier,"$199,808",6,3,2,0
56,paiN Gaming,"$199,209",5,6,3,0
