name,earnings,1stPlace,2ndPlace,3rdPlace,TotalAchievements
Faker,1427854,33,8,3,44
Duke,1202577,18,2,5,25
Bang,1059518,1,5,2,8
Wolf,1051271,18,7,1,26
Bengi,926920,17,1,3,21
JackeyLove,841011,14,3,2,19
Blank,788813,10,5,2,17
Rookie,735323,11,5,6,22
Ning,696766,8,3,4,15
Baolan,696766,9,3,4,16
CoreJJ,693970,11,6,2,19
TheShy,682222,8,3,3,14
Ruler,617778,7,6,2,15
Karsa,602265,20,3,1,24
Ambition,596773,10,6,2,18
CuVee,562064,6,3,1,10
Xiaohu,561445,19,3,0,22
Caps,558116,20,3,4,27
Crown,552863,6,3,2,11
Impact,541275,18,5,3,26
Peanut,525225,9,12,0,21
Uzi,495672,11,5,0,16
Mata,489788,16,5,5,26
Mlxg,482744,14,2,0,16
Perkz,462879,23,6,2,31
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
