CountryCode,Game,Genre,GameTitle,Country_Name,Two_Letter_Country_Code,TotalPlayers,CSGOPlayers,DotaPlayers,LOLPlayers,FortnitePlayers,OverwatchPlayers,StarcraftPlayers,HeroesPlayers,PUBGPlayers,ArenaPlayers,HearthstonePlayers
dk,Counter-Strike: Global Offensive,First-Person Shooter,Counter-Strike: Global Offensive,Argentina,AR,3,0,0,0,1,0,0,0,0,0,2
dk,Counter-Strike: Global Offensive,First-Person Shooter,Dota 2,Australia,AU,5,0,2,0,0,1,0,1,1,0,0
dk,Counter-Strike: Global Offensive,First-Person Shooter,League of Legends,Austria,AT,3,0,0,0,3,0,0,0,0,0,0
dk,Counter-Strike: Global Offensive,First-Person Shooter,Fortnite,Belgium,BE,5,1,0,1,3,0,0,0,0,0,0
dk,Counter-Strike: Global Offensive,First-Person Shooter,Overwatch,Bosnia and Herzegovina,BA,1,1,0,0,0,0,0,0,0,0,0
us,Counter-Strike: Global Offensive,First-Person Shooter,Starcraft II,Brazil,BR,10,8,0,0,0,1,1,0,0,0,0
br,Counter-Strike: Global Offensive,First-Person Shooter,Heroes of the Storm,Bulgaria,BG,6,2,1,1,0,0,0,2,0,0,0
br,Counter-Strike: Global Offensive,First-Person Shooter,PUBG,Belarus,BY,2,0,1,0,1,0,0,0,0,0,0
br,Counter-Strike: Global Offensive,First-Person Shooter,Arena of Valor,Canada,CA,37,4,4,1,6,3,3,4,4,0,8
br,Counter-Strike: Global Offensive,First-Person Shooter,Hearthstone,China,CN,168,1,39,22,0,2,8,18,26,36,16
ca,Counter-Strike: Global Offensive,First-Person Shooter,,Taiwan,TW,34,0,0,8,0,0,2,2,0,18,4
dk,Counter-Strike: Global Offensive,First-Person Shooter,,Croatia,HR,2,0,0,1,0,0,0,1,0,0,0
us,Counter-Strike: Global Offensive,First-Person Shooter,,Cuba,CU,1,0,0,0,0,0,0,0,1,0,0
us,Counter-Strike: Global Offensive,First-Person Shooter,,Czech Republic,CZ,3,1,0,0,0,0,0,0,0,0,2
se,Counter-Strike: Global Offensive,First-Person Shooter,,Denmark,DK,36,12,4,7,4,0,1,3,3,0,2
se,Counter-Strike: Global Offensive,First-Person Shooter,,Estonia,EE,2,1,1,0,0,0,0,0,0,0,0
se,Counter-Strike: Global Offensive,First-Person Shooter,,Finland,FI,16,3,3,0,1,4,1,0,3,0,1
se,Counter-Strike: Global Offensive,First-Person Shooter,,France,FR,37,12,1,2,7,4,4,2,2,0,3
ca,Counter-Strike: Global Offensive,First-Person Shooter,,Germany,DE,30,1,2,0,4,0,5,7,2,0,9
fr,Counter-Strike: Global Offensive,First-Person Shooter,,Gibraltar,GI,1,0,0,0,0,0,0,0,1,0,0
fr,Counter-Strike: Global Offensive,First-Person Shooter,,Greece,GR,1,0,0,0,0,0,0,0,0,0,1
sk,Counter-Strike: Global Offensive,First-Person Shooter,,Hong Kong,HK,5,0,0,1,1,0,0,0,0,0,3
us,Counter-Strike: Global Offensive,First-Person Shooter,,Ireland,IE,1,0,0,0,0,0,0,0,1,0,0
no,Counter-Strike: Global Offensive,First-Person Shooter,,Israel,IL,2,0,1,0,0,1,0,0,0,0,0
ba,Counter-Strike: Global Offensive,First-Person Shooter,,Italy,IT,2,0,0,0,0,0,1,0,0,0,1
ru,Counter-Strike: Global Offensive,First-Person Shooter,,Japan,JP,4,0,0,0,0,1,0,0,0,0,3
fr,Counter-Strike: Global Offensive,First-Person Shooter,,Kazakhstan,KZ,6,5,0,0,0,0,0,0,0,0,1
ua,Counter-Strike: Global Offensive,First-Person Shooter,,Jordan,JO,2,0,2,0,0,0,0,0,0,0,0
ua,Counter-Strike: Global Offensive,First-Person Shooter,,Korea,KR,251,0,3,47,1,69,61,28,25,10,7
fr,Counter-Strike: Global Offensive,First-Person Shooter,,Lebanon,LB,1,0,1,0,0,0,0,0,0,0,0
pl,Counter-Strike: Global Offensive,First-Person Shooter,,Latvia,LV,1,0,0,0,1,0,0,0,0,0,0
dk,Counter-Strike: Global Offensive,First-Person Shooter,,Lithuania,LT,2,0,0,0,1,0,0,0,1,0,0
ua,Counter-Strike: Global Offensive,First-Person Shooter,,Macao,MO,1,0,1,0,0,0,0,0,0,0,0
pl,Counter-Strike: Global Offensive,First-Person Shooter,,Malaysia,MY,6,0,5,0,0,0,0,0,0,1,0
nl,Counter-Strike: Global Offensive,First-Person Shooter,,Mexico,MX,1,0,0,0,0,0,1,0,0,0,0
pl,Counter-Strike: Global Offensive,First-Person Shooter,,Netherlands,NL,10,1,0,0,3,0,2,0,1,0,3
us,Counter-Strike: Global Offensive,First-Person Shooter,,Norway,NO,10,1,0,0,4,0,1,1,2,0,1
pl,Counter-Strike: Global Offensive,First-Person Shooter,,Pakistan,PK,1,0,1,0,0,0,0,0,0,0,0
pl,Counter-Strike: Global Offensive,First-Person Shooter,,Philippines,PH,7,0,4,1,0,0,0,0,1,0,1
se,Counter-Strike: Global Offensive,First-Person Shooter,,Poland,PL,14,7,1,1,0,0,3,1,0,0,1
ru,Counter-Strike: Global Offensive,First-Person Shooter,,Romania,RO,2,0,1,0,0,0,0,0,0,0,1
se,Counter-Strike: Global Offensive,First-Person Shooter,,Russian Federation,RU,22,5,4,0,3,1,0,0,6,0,3
se,Counter-Strike: Global Offensive,First-Person Shooter,,Singapore,SG,1,0,1,0,0,0,0,0,0,0,0
ee,Counter-Strike: Global Offensive,First-Person Shooter,,Slovakia,SK,3,3,0,0,0,0,0,0,0,0,0
fr,Counter-Strike: Global Offensive,First-Person Shooter,,Vietnam,VN,7,0,0,0,0,0,0,0,1,6,0
fr,Counter-Strike: Global Offensive,First-Person Shooter,,Slovenia,SI,4,0,0,1,2,0,0,1,0,0,0
ca,Counter-Strike: Global Offensive,First-Person Shooter,,Spain,ES,6,1,0,2,0,2,1,0,0,0,0
se,Counter-Strike: Global Offensive,First-Person Shooter,,Sweden,SE,45,13,7,2,5,3,3,7,2,0,3
us,Counter-Strike: Global Offensive,First-Person Shooter,,Switzerland,CH,3,0,0,0,3,0,0,0,0,0,0
se,Counter-Strike: Global Offensive,First-Person Shooter,,Thailand,TH,29,0,0,0,0,0,0,0,1,28,0
us,Counter-Strike: Global Offensive,First-Person Shooter,,Turkey,TR,4,2,0,0,0,0,0,0,1,0,1
fi,Counter-Strike: Global Offensive,First-Person Shooter,,Turkey,TR,4,2,0,0,0,0,0,0,1,0,1
dk,Counter-Strike: Global Offensive,First-Person Shooter,,Ukraine,UA,12,3,5,0,0,0,1,0,0,0,3
kz,Counter-Strike: Global Offensive,First-Person Shooter,,Macedonia,MK,1,0,1,0,0,0,0,0,0,0,0
se,Counter-Strike: Global Offensive,First-Person Shooter,,United Kingdom,GB,16,1,0,0,5,3,0,3,2,0,2
dk,Counter-Strike: Global Offensive,First-Person Shooter,,United States of America,US,114,10,4,2,41,5,1,19,13,1,18
us,Counter-Strike: Global Offensive,First-Person Shooter,,Uzbekistan,UZ,1,1,0,0,0,0,0,0,0,0,0
us,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
br,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
br,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
fr,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
bg,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
se,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
dk,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
ru,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
cz,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
fr,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
dk,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
fi,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
dk,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
br,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
ru,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
tr,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
fr,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
sk,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
tr,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
se,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
fi,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
kz,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
kz,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
kz,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
ru,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
fr,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
kz,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
fr,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
sk,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
bg,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
ca,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
se,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
br,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
be,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
es,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
de,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
gb,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
pl,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
cn,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
us,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
pl,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
fr,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
uz,Counter-Strike: Global Offensive,First-Person Shooter,,,,,,,,,,,,,,
dk,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
fi,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
au,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
fr,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
fi,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
de,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
jo,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
bg,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
lb,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
fi,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
pk,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
us,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
us,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
cn,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
cn,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
ee,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
us,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
se,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
se,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
il,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
ro,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
ca,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
cn,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
cn,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
cn,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
dk,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
ca,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
cn,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
cn,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
cn,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
my,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
cn,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
cn,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
au,Dota 2,Multiplayer Online Battle Arena,,,,,,,,,,,,,,
