CountryCode,CountryName,Game,Genre
dk,Denmark,Counter-Strike: Global Offensive,First-Person Shooter
dk,Denmark,Counter-Strike: Global Offensive,First-Person Shooter
dk,Denmark,Counter-Strike: Global Offensive,First-Person Shooter
dk,Denmark,Counter-Strike: Global Offensive,First-Person Shooter
dk,Denmark,Counter-Strike: Global Offensive,First-Person Shooter
us,United States of America,Counter-Strike: Global Offensive,First-Person Shooter
br,Brazil,Counter-Strike: Global Offensive,First-Person Shooter
br,Brazil,Counter-Strike: Global Offensive,First-Person Shooter
br,Brazil,Counter-Strike: Global Offensive,First-Person Shooter
br,Brazil,Counter-Strike: Global Offensive,First-Person Shooter
ca,Canada,Counter-Strike: Global Offensive,First-Person Shooter
dk,Denmark,Counter-Strike: Global Offensive,First-Person Shooter
us,United States of America,Counter-Strike: Global Offensive,First-Person Shooter
us,United States of America,Counter-Strike: Global Offensive,First-Person Shooter
se,Sweden,Counter-Strike: Global Offensive,First-Person Shooter
se,Sweden,Counter-Strike: Global Offensive,First-Person Shooter
se,Sweden,Counter-Strike: Global Offensive,First-Person Shooter
se,Sweden,Counter-Strike: Global Offensive,First-Person Shooter
ca,Canada,Counter-Strike: Global Offensive,First-Person Shooter
fr,France,Counter-Strike: Global Offensive,First-Person Shooter
fr,France,Counter-Strike: Global Offensive,First-Person Shooter
sk,Slovakia,Counter-Strike: Global Offensive,First-Person Shooter
us,United States of America,Counter-Strike: Global Offensive,First-Person Shooter
no,Norway,Counter-Strike: Global Offensive,First-Person Shooter
ba,Bosnia and Herzegovina,Counter-Strike: Global Offensive,First-Person Shooter
ru,Russian Federation,Counter-Strike: Global Offensive,First-Person Shooter
fr,France,Counter-Strike: Global Offensive,First-Person Shooter
ua,Ukraine,Counter-Strike: Global Offensive,First-Person Shooter
ua,Ukraine,Counter-Strike: Global Offensive,First-Person Shooter
fr,France,Counter-Strike: Global Offensive,First-Person Shooter
pl,Poland,Counter-Strike: Global Offensive,First-Person Shooter
dk,Denmark,Counter-Strike: Global Offensive,First-Person Shooter
