PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize,Game,Genre
3304,Johan,Sundstein,N0tail,dk,6952596.58,Dota 2,Multiplayer Online Battle Arena
3822,Jesse,Vainikka,JerAx,fi,6470000.02,Dota 2,Multiplayer Online Battle Arena
30451,Anathan,Pham,ana,au,6000411.96,Dota 2,Multiplayer Online Battle Arena
2811,Sébastien,Debs,Ceb,fr,5554297.41,Dota 2,Multiplayer Online Battle Arena
18897,Topias,Taavitsainen,Topson,fi,5470902.57,Dota 2,Multiplayer Online Battle Arena
3145,Kuro,Takhasomi,KuroKy,de,5193382.81,Dota 2,Multiplayer Online Battle Arena
14671,Amer,Al-Barkawi,Miracle-,jo,4798043.68,Dota 2,Multiplayer Online Battle Arena
12579,Ivan,Ivanov,MinD_ContRoL,bg,4579118.16,Dota 2,Multiplayer Online Battle Arena
25335,Maroun,Merhej,GH,lb,4193412.69,Dota 2,Multiplayer Online Battle Arena
12133,Lasse,Urpalainen,Matumbaman,fi,3765369.04,Dota 2,Multiplayer Online Battle Arena
14196,Sumail,Hassan,SumaiL,pk,3608317.34,Dota 2,Multiplayer Online Battle Arena
56483,Kyle,Giersdorf,Bugha,us,3141395.05,Fortnite,Battle Royale
2615,Saahil,Arora,UNiVeRsE,us,3057237.67,Dota 2,Multiplayer Online Battle Arena
5194,Peter,Dager,ppd,us,2995619.62,Dota 2,Multiplayer Online Battle Arena
10188,Lu,Yao,Somnus丶M,cn,2984982.14,Dota 2,Multiplayer Online Battle Arena
